index_x,Location,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Max_Year,Max,Mean,index_y,OBJECTID,NAME10,GEOID10,COUNTY,COUNTYFP10,POP10,MEAN_2011_2017
63,Brunswick,63.8,127.7,74,122.5,92.5,122,135.9,87,124.8,76.8,2014,135.9,102.7,63,496,Brunswick,2300508430,Cumberland,5,20278,108.7857143
64,Buckfield,,0,49.8,98.5,99.4,49.4,0,0,0,49.7,2012,99.4,38.53333333,64,352,Buckfield,2301708710,Oxford,17,2009,42.42857143
65,Bucksport,40.7,100.7,121.9,203,242.5,220.7,263.2,204.4,163.8,368.5,2017,368.5,192.94,65,161,Bucksport,2300908815,Hancock,9,4924,238.0142857
66,Burlington,0,,0,0,,0,0,0,0,0,2008,0,0,66,13,Burlington,2301909200,Penobscot,19,363,0
67,Burnham,0,0,0,0,0,,0,,,,2008,0,0,67,391,Burnham,2302709270,Waldo,27,1164,0
68,Buxton,85.5,224.4,112,173.8,148.1,135.2,121.2,48.3,203.2,119.5,2009,224.4,137.12,68,257,Buxton,2303109410,York,31,8034,135.6142857
69,Byron,0,0,0,0,0,0,0,0,0,0,2008,0,0,69,353,Byron,2301709550,Oxford,17,145,0
70,Calais,,0,,33.1,0,0,0,34.7,0,34,2015,34.7,12.725,70,53,Calais,2302909585,Washington,29,3123,14.54285714
71,Cambridge,0,0,0,0,0,0,0,0,,0,2008,0,0,71,299,Cambridge,2302509655,Somerset,25,462,0
72,Camden,171.1,120.4,164.9,84.5,294.3,147.6,192.3,248.1,106.4,319.1,2017,319.1,184.87,72,443,Camden,2301309725,Knox,13,4850,198.9
73,Canaan,47.3,0,44,44.6,0,132.7,88.7,89.1,0,312.5,2017,312.5,75.89,73,300,Canaan,2302509935,Somerset,25,2275,95.37142857
74,Canton,0,,0,0,0,0,0,,0,,2008,0,0,74,354,Canton,2301710005,Oxford,17,990,0
75,Cape Elizabeth,100.2,99.2,99.8,100.2,123.2,121.7,187.1,121.4,88.5,99.6,2014,187.1,114.09,75,497,Cape Elizabeth,2300510180,Cumberland,5,9015,120.2428571
76,Caratunk,0,0,0,0,0,0,0,0,0,0,2008,0,0,76,301,Caratunk,2302510495,Somerset,25,69,0
77,Caribou,,,,,,,0,,13,0,2016,13,4.333333333,77,62,Caribou,2300310565,Aroostook,3,8189,4.333333333
78,Carmel,0,,0,0,35.4,0,70.7,70.8,175.4,105.2,2016,175.4,50.83333333,78,14,Carmel,2301910670,Penobscot,19,2794,65.35714286
79,Carrabassett Valley,0,0,0,0,0,,,0,0,0,2008,0,0,79,290,Carrabassett Valley,2300710740,Franklin,7,781,0
80,Carroll,0,,0,0,0,0,0,0,0,0,2008,0,0,80,15,Carroll,2301910810,Penobscot,19,153,0
81,Carthage,0,0,0,0,0,0,0,0,0,0,2008,0,0,81,291,Carthage,2300710915,Franklin,7,560,0
82,Cary,,,,,,,0,,0,0,2014,0,0,82,63,Cary,2300311020,Aroostook,3,218,0
83,Casco,81.4,160.2,133.6,79.1,208.4,156.9,180.9,155.8,153.5,127.9,2012,208.4,143.77,83,498,Casco,2300511125,Cumberland,5,3742,151.7857143
84,Castine,,,0,,,,,502.1,478.5,478.5,2015,502.1,364.775,84,162,Castine,2300911265,Hancock,9,1366,486.3666667
85,Castle Hill,,,,,,,0,,0,0,2014,0,0,85,64,Castle Hill,2300311300,Aroostook,3,425,0
86,Caswell,,,,,,,0,,0,0,2014,0,0,86,79,Caswell,2300311335,Aroostook,3,306,0
87,Central Aroostook,,,,,,,0,,0,0,2014,0,0,87,80,Central Aroostook,2300311785,Aroostook,3,118,0
162,Central Hancock,0,0,0,0,0,0,0,0,0,0,2008,0,0,88,163,Central Hancock,2300911800,Hancock,9,117,0
88,Central Somerset,0,0,0,0,0,0,0,0,0,0,2008,0,0,89,302,Central Somerset,2302511820,Somerset,25,338,0
89,Chapman,,,,,,,0,,0,0,2014,0,0,90,81,Chapman,2300312000,Aroostook,3,468,0
90,Charleston,0,,0,0,0,0,0,0,0,0,2008,0,0,91,16,Charleston,2301912105,Penobscot,19,1409,0
91,Charlotte,,0,,0,0,0,0,0,0,0,2009,0,0,92,54,Charlotte,2302912175,Washington,29,332,0
92,Chebeague Island,,,0,,,,0,,,,2010,0,0,93,533,Chebeague Island,2300512300,Cumberland,5,341,0
93,Chelsea,180.4,0,110.3,331.7,221.3,111.7,74.7,188.1,263.2,150.4,2011,331.7,163.18,94,480,Chelsea,2301112350,Kennebec,11,2721,191.5857143
94,Cherryfield,,0,,0,0,,0,,0,,2009,0,0,95,55,Cherryfield,2302912455,Washington,29,1232,0
95,Chester,0,,0,0,0,0,0,0,0,0,2008,0,0,96,17,Chester,2301912525,Penobscot,19,546,0
96,Chesterville,0,0,,0,0,0,,0,0,,2008,0,0,97,286,Chesterville,2300712595,Franklin,7,1352,0
97,China,112.7,45.6,69.3,114.8,230,228.2,161.5,137.3,272,272,2016,272,164.34,98,481,China,2301112735,Kennebec,11,4328,202.2571429
98,Clifton,0,,0,0,0,0,0,0,,,2008,0,0,99,18,Clifton,2301913365,Penobscot,19,921,0
99,Clinton,0,0,86.1,56.8,28.7,115.9,86.6,56.8,225.3,169,2016,225.3,82.52,100,482,Clinton,2301113470,Kennebec,11,3486,105.5857143
100,Codyville,,,,,,,,,,,,,,101,56,Codyville,2302913610,Washington,29,24,0
101,Columbia,,0,,0,0,0,0,0,0,0,2009,0,0,102,57,Columbia,2302913750,Washington,29,486,0
102,Columbia Falls,,0,,,0,,,0,0,,2009,0,0,103,58,Columbia Falls,2302913820,Washington,29,560,0
103,Connor,,,,,,,0,,0,0,2014,0,0,104,82,Connor,2300313900,Aroostook,3,457,0
104,Cooper,,0,,0,0,0,0,0,0,0,2009,0,0,105,65,Cooper,2302914100,Washington,29,154,0
