Location,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,Max_Year,Max,Mean
Temple,0.0,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
The Forks Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Thomaston,91.1,168.0,143.8,216.2,143.6,179.7,250.8,361.4,252.0,288.0,2015.0,361.4,209.45999999999998
Thorndike,0.0,0.0,0.0,0.0,N/R,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Topsfield,N/R,0.0,N/R,N/R,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Topsham,10.1,43.6,91.1,80.4,171.5,138.0,114.5,137.0,135.3,67.6,2012.0,171.5,98.91
Tremont,0.0,N/R,N/R,0.0,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Trenton,N/R,0.0,0.0,0.0,N/R,N/R,N/R,461.1,451.9,N/R,2015.0,461.1,182.6
Troy,0.0,0.0,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,2008.0,0.0,0.0
Turner,0.0,87.5,17.4,N/R,190.3,103.3,N/R,N/R,240.8,172.0,2016.0,240.8,115.89999999999999
Union,129.0,132.2,88.5,486.7,442.5,311.4,221.8,220.5,608.7,434.8,2016.0,608.7,307.61
Unity,0.0,48.5,0.0,47.3,47.3,283.3,47.0,184.9,138.8,370.0,2017.0,370.0,116.71
Unity Twp,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Upton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Van Buren,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Vanceboro,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Vassalboro,178.9,136.1,161.3,230.2,206.0,321.7,160.8,207.9,250.0,431.8,2017.0,431.8,228.47000000000003
Veazie,0.0,N/R,0.0,0.0,N/R,0.0,N/R,0.0,N/R,N/R,2008.0,0.0,0.0
Verona Island,0.0,0.0,N/R,0.0,0.0,N/R,N/R,N/R,0.0,N/R,2008.0,0.0,0.0
Vienna,0.0,0.0,N/R,0.0,0.0,0.0,0.0,N/R,0.0,N/R,2008.0,0.0,0.0
Vinalhaven,0.0,0.0,N/R,N/R,0.0,N/R,N/R,N/R,N/R,1269.0,2017.0,1269.0,317.25
Wade,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Waite,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Waldo,N/R,0.0,N/R,0.0,N/R,0.0,0.0,0.0,N/R,N/R,2009.0,0.0,0.0
Waldoboro,39.3,176.8,137.9,137.6,156.4,138.4,237.0,312.1,241.1,281.2,2015.0,312.1,185.78
Wales,0.0,N/R,0.0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Wallagrass,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Waltham,0.0,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,2008.0,0.0,0.0
Warren,84.0,211.9,189.4,188.3,209.8,189.2,413.1,234.2,208.9,334.3,2014.0,413.1,226.31000000000003
Washburn,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Washington,N/R,N/R,N/R,N/R,N/R,N/R,524.6,N/R,N/R,456.9,2014.0,524.6,490.75
Waterboro,39.6,78.2,39.0,140.5,101.3,114.7,101.3,50.4,134.1,97.6,2011.0,140.5,89.67
Waterford,0.0,0.0,0.0,0.0,N/R,N/R,N/R,N/R,0.0,N/R,2008.0,0.0,0.0
Waterville,25.4,0.0,44.5,38.5,38.2,32.2,51.2,19.6,52.2,104.4,2017.0,104.4,40.620000000000005
Wayne,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,524.9,2017.0,524.9,524.9
Webster Plt,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Weld,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Wellington,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Wells,256.6,146.5,73.0,146.6,114.1,114.9,185.3,104.0,123.6,82.4,2008.0,256.6,134.7
Wesley,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
West Bath,N/R,N/R,0.0,0.0,N/R,0.0,321.9,N/R,N/R,N/R,2014.0,321.9,80.475
West Central Franklin,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
West Forks Plt,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
West Gardiner,264.3,149.6,57.6,114.7,143.7,173.2,86.7,114.3,56.8,312.4,2017.0,312.4,147.32999999999998
West Paris,0.0,0.0,0.0,N/R,0.0,0.0,N/R,0.0,N/R,0.0,2008.0,0.0,0.0
Westbrook,36.8,87.7,34.3,57.2,34.2,107.4,50.4,38.7,43.9,109.8,2017.0,109.8,60.04
Westfield,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,N/R,2014.0,0.0,0.0
Westmanland,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Weston,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Westport Island,0.0,N/R,0.0,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Whitefield,220.6,262.0,87.0,346.0,260.3,303.2,174.2,260.4,299.7,342.5,2011.0,346.0,255.58999999999997
Whiting,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,N/R,2009.0,0.0,0.0
Whitneyville,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Willimantic,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Wilton,0.0,96.9,24.3,0.0,N/R,0.0,N/R,25.0,0.0,49.8,2009.0,96.9,24.5
Windham,100.9,164.1,70.6,145.6,145.1,195.4,193.6,150.6,204.2,165.6,2016.0,204.2,153.57
Windsor,255.3,160.9,233.0,154.9,308.4,192.5,192.2,155.2,231.0,77.0,2012.0,308.4,196.04000000000002
Winn,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Winslow,51.4,76.8,12.8,64.2,90.4,91.0,78.3,118.5,79.0,118.5,2015.0,118.5,78.09
Winter Harbor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2008.0,0.0,0.0
Winterport,0.0,0.0,79.9,0.0,26.6,0.0,79.3,99.5,0.0,129.8,2017.0,129.8,41.510000000000005
Winterville Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,N/R,2014.0,0.0,0.0
Winthrop,142.4,211.1,98.5,133.2,116.7,318.0,202.3,206.8,369.9,269.0,2016.0,369.9,206.79000000000002
Wiscasset,133.3,133.5,53.6,53.8,108.0,26.8,53.9,134.8,264.5,79.3,2016.0,264.5,104.15
Woodland,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Woodstock,0.0,N/R,0.0,0.0,0.0,N/R,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Woodville,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Woolwich,202.2,133.2,97.7,163.1,N/R,N/R,228.5,N/R,391.0,260.7,2016.0,391.0,210.91428571428574
Wyman Twp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Yarmouth,87.1,157.1,47.9,84.5,144.2,154.9,142.3,96.5,177.7,130.3,2016.0,177.7,122.25
York,295.7,368.0,151.6,142.8,150.8,118.7,206.2,119.7,103.2,103.2,2009.0,368.0,175.99
