Location,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,Max_Year,Max,Mean
Dixmont,0.0,N/R,0.0,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Dover-Foxcroft,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Dresden,410.1,N/R,N/R,358.4,N/R,418.4,N/R,N/R,N/R,N/R,2013.0,418.4,395.6333333333334
Drew Plt,0.0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Durham,77.8,103.5,129.9,182.7,310.6,180.3,307.9,231.7,280.9,178.8,2012.0,310.6,198.41000000000003
Dyer Brook,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Eagle Lake,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
East Central Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
East Central Penobscot,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
East Central Washington,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
East Hancock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
East Machias,N/R,N/R,N/R,N/R,N/R,N/R,N/R,454.9,N/R,N/R,2015.0,454.9,454.9
East Millinocket,0.0,N/R,N/R,N/R,0.0,0.0,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Eastbrook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Easton,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Eastport,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,N/R,2009.0,0.0,0.0
Eddington,0.0,N/R,0.0,44.5,44.8,44.1,0.0,91.3,91.1,227.8,2017.0,227.8,60.39999999999999
Edgecomb,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Edinburg,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Eliot,239.6,356.8,161.2,128.3,270.4,174.5,285.0,174.1,173.2,157.4,2009.0,356.8,212.05
Ellsworth,0.0,13.3,12.9,0.0,77.4,89.2,102.0,165.9,101.4,228.3,2017.0,228.3,79.04
Embden,0.0,0.0,0.0,N/R,0.0,0.0,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Enfield,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Etna,N/R,N/R,0.0,0.0,0.0,0.0,0.0,0.0,N/R,N/R,2010.0,0.0,0.0
Eustis,0.0,0.0,0.0,0.0,0.0,N/R,0.0,0.0,0.0,N/R,2008.0,0.0,0.0
Exeter,0.0,N/R,0.0,0.0,0.0,0.0,N/R,0.0,0.0,N/R,2008.0,0.0,0.0
Fairfield,14.8,58.9,44.5,45.1,N/R,15.0,N/R,60.4,60.7,197.2,2017.0,197.2,62.075
Falmouth,145.2,169.7,71.5,169.3,197.2,105.6,199.4,77.9,149.7,96.8,2014.0,199.4,138.23
Farmingdale,138.9,136.4,135.3,67.2,67.7,102.6,67.8,170.5,209.4,209.4,2016.0,209.4,130.52000000000004
Farmington,40.1,51.6,64.4,13.1,13.1,13.1,13.3,67.0,0.0,67.4,2017.0,67.4,34.31
Fayette,0.0,N/R,0.0,N/R,0.0,N/R,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Fletchers Landing Twp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Fort Fairfield,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Fort Kent,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Frankfort,0.0,0.0,N/R,0.0,0.0,0.0,N/R,N/R,0.0,0.0,2008.0,0.0,0.0
Franklin,0.0,N/R,0.0,N/R,0.0,0.0,N/R,0.0,N/R,0.0,2008.0,0.0,0.0
Freedom,0.0,N/R,0.0,N/R,0.0,N/R,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Freeport,193.5,201.1,114.2,114.1,217.1,150.8,235.2,187.6,173.4,321.9,2017.0,321.9,190.89000000000001
Frenchboro,N/R,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0
Frenchville,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,0.0,2016.0,0.0,0.0
Friendship,0.0,0.0,0.0,0.0,N/R,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Frye Island,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Fryeburg,0.0,59.3,29.0,86.8,0.0,117.2,88.0,58.5,58.1,58.1,2013.0,117.2,55.5
Gardiner,131.3,33.6,137.9,104.8,121.7,174.9,69.7,103.5,245.5,245.5,2016.0,245.5,136.84
Garfield Plt,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Garland,0.0,N/R,0.0,N/R,0.0,0.0,0.0,0.0,N/R,N/R,2008.0,0.0,0.0
Georgetown,N/R,N/R,N/R,N/R,N/R,N/R,N/R,682.9,782.0,586.5,2016.0,782.0,683.8000000000001
Gilead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Glenburn,0.0,N/R,0.0,0.0,42.9,0.0,0.0,43.3,21.5,107.7,2017.0,107.7,23.93333333333333
Glenwood Plt,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Gorham,171.6,129.4,146.5,157.4,144.7,143.0,165.2,98.8,109.0,137.7,2008.0,171.6,140.32999999999998
Gouldsboro,0.0,N/R,0.0,N/R,0.0,N/R,N/R,N/R,N/R,N/R,2008.0,0.0,0.0
Grand Isle,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Grand Lake Stream Plt,N/R,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Gray,92.4,129.2,141.7,101.9,101.7,252.3,200.0,173.2,221.4,246.0,2013.0,252.3,165.98000000000002
Great Pond,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0,0.0
Greenbush,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,N/R,N/R,2008.0,0.0,0.0
Greene,71.0,46.4,23.0,114.2,45.5,90.1,112.8,46.0,137.5,91.6,2016.0,137.5,77.81
Greenville,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,2017.0,0.0,0.0
Greenwood,0.0,0.0,N/R,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2008.0,0.0,0.0
Guilford,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,2016.0,0.0,0.0
Hallowell,122.9,82.9,84.0,85.0,171.7,172.5,43.2,88.2,129.6,129.6,2013.0,172.5,110.96000000000001
Hamlin,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Hammond,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Hampden,72.3,N/R,0.0,0.0,27.5,27.5,54.0,68.2,164.7,164.7,2016.0,164.7,64.32222222222222
Hancock,0.0,0.0,0.0,0.0,0.0,0.0,123.3,82.2,204.3,449.5,2017.0,449.5,85.92999999999999
Hanover,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Harmony,0.0,0.0,0.0,N/R,0.0,N/R,N/R,0.0,0.0,N/R,2008.0,0.0,0.0
Harpswell,38.7,226.3,63.3,126.7,127.7,107.1,84.0,64.5,215.1,193.6,2009.0,226.3,124.69999999999997
Harrington,N/R,0.0,N/R,N/R,0.0,0.0,0.0,0.0,N/R,N/R,2009.0,0.0,0.0
Harrison,0.0,37.7,73.3,0.0,109.9,182.6,108.5,36.6,181.8,72.7,2013.0,182.6,80.31000000000002
Hartford,N/R,N/R,0.0,0.0,N/R,0.0,N/R,N/R,0.0,N/R,2010.0,0.0,0.0
Hartland,0.0,0.0,0.0,0.0,0.0,0.0,N/R,N/R,0.0,N/R,2008.0,0.0,0.0
Haynesville,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Hebron,N/R,0.0,0.0,0.0,0.0,N/R,0.0,N/R,N/R,N/R,2009.0,0.0,0.0
Hermon,0.0,N/R,0.0,0.0,18.0,18.1,35.2,17.6,70.9,106.3,2017.0,106.3,29.56666666666667
Hersey,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,0.0,2014.0,0.0,0.0
Hibberts Gore,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Highland Plt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
Hiram,N/R,N/R,0.0,N/R,N/R,N/R,N/R,N/R,N/R,N/R,2010.0,0.0,0.0
Hodgdon,N/R,N/R,N/R,N/R,N/R,N/R,0.0,N/R,0.0,N/R,2014.0,0.0,0.0
Holden,0.0,N/R,0.0,0.0,97.8,131.4,97.8,164.0,232.4,232.4,2016.0,232.4,106.19999999999999
Hollis,85.6,185.8,70.1,208.4,137.2,135.6,225.0,174.2,155.1,221.6,2014.0,225.0,159.85999999999999
Hope,N/R,N/R,N/R,N/R,N/R,N/R,378.8,N/R,379.7,N/R,2016.0,379.7,379.25
Houlton,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,0.0,35.5,2017.0,35.5,17.75
Howland,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,N/R,0.0,2008.0,0.0,0.0
Hudson,0.0,N/R,0.0,0.0,0.0,N/R,N/R,0.0,0.0,0.0,2008.0,0.0,0.0
Indian Island,0.0,N/R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0
