OBJECTID,GEOID10,STATEFP10,COUNTY,COUNTYFP10,COUSUBFP10,COUSUBNS10,POP10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CNECTAFP10,NECTAFP10,NCTADVFP10,ALAND10,AWATER10,SQM,POPDEN10,ACRES,GlobalID,SHAPEarea,SHAPElen
128,2300342520,23,Aroostook,003,42520,00582576,4035,Madawaska,Madawaska town,43,T1,G4040,,,,143889185,1748968,56,72.053571430000005,35962,{0C411E17-3D46-4677-B593-4D40A5577DDE},145533242.073432594537735,55792.946869710656756
129,2300343255,23,Aroostook,003,43255,00582579,1948,Mapleton,Mapleton town,43,T1,G4040,,,,87987651,960722,34,57.294117649999997,21964,{E01A2E7A-994B-4F11-BD01-07AF4D60BCB1},88887282.123981103301048,37646.147254073999648
130,2300343710,23,Aroostook,003,43710,00582582,1493,Mars Hill,Mars Hill town,43,T1,G4040,,,,90993714,191946,35,42.657142860000000,22519,{5D4B16B3-FFA7-4449-8B7D-E4177EB99AF6},91130247.297181442379951,38153.888033088675002
131,2300343990,23,Aroostook,003,43990,00582583,249,Masardis,Masardis town,43,T1,G4040,,,,100310124,3091553,40,6.225000000000000,25532,{6FA6659C-8745-4D46-B601-63CB66A75A76},103324926.954525485634804,40711.562624651975057
132,2300345180,23,Aroostook,003,45180,00582592,273,Merrill,Merrill town,43,T1,G4040,,,,96733882,71739,37,7.378378380000000,23904,{3BD043E6-4117-4CEC-8E30-2B781467354C},96736512.768682524561882,39448.356269073199655
133,2300346685,23,Aroostook,003,46685,00582604,790,Monticello,Monticello town,43,T1,G4040,,,,99034135,432865,38,20.789473680000000,24564,{94A1AE26-D98C-48E0-896A-22C91EA2A288},99406785.697566717863083,39941.124909482852672
134,2300347175,23,Aroostook,003,47175,00582607,38,Moro,Moro plantation,39,T1,G4040,,,,91791359,2850207,37,1.027027030000000,23369,{F14DF818-30D9-457C-AE0A-6D02058E4601},94571394.027073517441750,39034.515987449594832
135,2300348120,23,Aroostook,003,48120,00582614,46,Nashville,Nashville plantation,39,T1,G4040,,,,91203254,992295,36,1.277777780000000,22765,{2A713615-DE54-4031-B98F-01FE5473F81D},92125139.429315045475960,38354.232611936095054
136,2300348575,23,Aroostook,003,48575,00582616,321,New Canada,New Canada town,43,T1,G4040,,,,92675825,1513430,36,8.916666670000000,23257,{601FB00E-64A3-4363-A376-BA9CD53EA0E1},94117197.996223956346512,38887.058799019381695
137,2300348960,23,Aroostook,003,48960,00582620,510,New Limerick,New Limerick town,43,T1,G4040,,,,47761752,2817463,20,25.500000000000000,12490,{128C436C-2DA5-424F-BD81-FD5A7270D5BD},50546616.883395642042160,30555.534351171583694
138,2300349415,23,Aroostook,003,49415,00582625,602,New Sweden,New Sweden town,43,T1,G4040,,,,89538043,74880,35,17.199999999999999,22128,{57A9612E-A2D5-483B-8A0E-8DDDE884BD57},89551099.017381921410561,38018.300529678919702
139,2300353602,23,Aroostook,003,53602,00582638,10,Northwest Aroostook,Northwest Aroostook UT,46,Z3,G4040,,,,6810069297,103150956,2667,0.003749530000000,1706964,{6EF76B60-CF4D-475C-B452-4D8262991283},6907867246.681634902954102,534915.929212400224060
140,2300354385,23,Aroostook,003,54385,00582644,737,Oakfield,Oakfield town,43,T1,G4040,,,,91025975,1977091,36,20.472222219999999,22966,{69E3C34D-1BA0-4F67-8337-80D8B48E69AA},92939682.540976822376251,38603.288124658305605
104,2300328590,23,Aroostook,003,28590,00582495,467,Grand Isle,Grand Isle town,43,T1,G4040,,,,89582444,2041436,35,13.342857140000000,22625,{B5101AF7-57DF-4DBB-B9F5-7CF36702D0CF},91560387.555677682161331,42661.842075809443486
105,2300330690,23,Aroostook,003,30690,00582506,219,Hamlin,Hamlin town,43,T1,G4040,,,,60472590,1787942,24,9.125000000000000,15375,{43FBBD4F-4AB8-4A56-8B59-281A91C6410E},62221853.341150477528572,39377.691595610798686
106,2302961035,23,Washington,029,61035,00582687,832,Princeton,Princeton town,43,T1,G4040,,,,95439698,12804863,42,19.809523810000002,26735,{8F8025B4-3E93-4ADE-A0D3-B1F6DEB6E95E},108192773.712530553340912,44969.130269062668958
107,2302963275,23,Washington,029,63275,00582697,574,Robbinston,Robbinston town,43,T1,G4040,,,,73000444,14362679,34,16.882352940000001,21582,{02A1FB0F-D6EE-4BDD-B7A2-720B4E9F82F9},87338340.727922514081001,37710.191257419071917
108,2302963940,23,Washington,029,63940,00582701,303,Roque Bluffs,Roque Bluffs town,43,T1,G4040,,,,26901466,23678857,20,15.150000000000000,12493,{F97EF60C-18D4-466B-ACCB-E81BE05DBED6},50557905.334160119295120,34978.180345168351778
109,2302974125,23,Washington,029,74125,00582747,1131,Steuben,Steuben town,43,T1,G4040,,,,111434557,49890875,62,18.241935479999999,39839,{3A587856-B90B-43A4-83AA-2871D9E64179},161224721.271195530891418,71372.624535649330937
110,2302975770,23,Washington,029,75770,00582760,64,Talmadge,Talmadge town,43,T1,G4040,,,,97905078,3261189,39,1.641025640000000,24984,{9EF0A462-0602-465D-A26C-BAD9589FE425},101108595.671284794807434,40397.098021028665244
111,2302976895,23,Washington,029,76895,00582765,237,Topsfield,Topsfield town,43,T1,G4040,,,,129734720,13538974,55,4.309090910000000,35383,{DA680B31-52F4-468E-888B-63463F39044D},143190960.205981791019440,48113.331417915411294
112,2302978675,23,Washington,029,78675,00582777,140,Vanceboro,Vanceboro town,43,T1,G4040,,,,52165348,5855512,22,6.363636360000000,14331,{C0045020-38D7-41D5-BB09-964EE8AFAC61},57994790.499125160276890,36999.023705574370979
113,2302979375,23,Washington,029,79375,00582784,101,Waite,Waite town,43,T1,G4040,,,,113916069,159344,44,2.295454550000000,28174,{AE1BC063-5A61-4A8A-87F6-FEB7617BF3CF},114016411.581288278102875,43372.964437476446619
114,2302981685,23,Washington,029,81685,00582800,98,Wesley,Wesley town,43,T1,G4040,,,,129187515,1954155,51,1.921568630000000,32389,{F9ED0E3A-05E8-47DE-8407-72D8AB3D77C2},131073428.950109317898750,46120.951521635935933
115,2302985185,23,Washington,029,85185,00582812,487,Whiting,Whiting town,43,T1,G4040,,,,121063636,13815758,52,9.365384620000000,33318,{115B8166-A276-4C31-BA42-D56F27C7AB60},134834982.149772346019745,48122.925531158653030
116,2300330725,23,Aroostook,003,30725,00582507,118,Hammond,Hammond town,43,T1,G4040,,,,101163649,298046,39,3.025641030000000,25055,{A0E61BC9-44B9-46A1-8593-72660D0EE6C1},101396192.598272785544395,40897.433774684941454
117,2300332195,23,Aroostook,003,32195,00582515,121,Haynesville,Haynesville town,43,T1,G4040,,,,107168868,1332871,42,2.880952380000000,26794,{AF45BDDD-7B26-4552-8B5C-3C8E2C53427F},108431495.970715999603271,45265.258266611090221
189,2301955565,23,Penobscot,019,55565,00582651,10362,Orono,Orono town,43,T1,G4040,,70750,,47105851,3645072,20,518.100000000000023,12531,{4677573E-640F-4FE8-AF41-60964C176DD7},50710969.116716958582401,36970.117348682040756
190,2301955680,23,Penobscot,019,55680,00582652,3733,Orrington,Orrington town,43,T1,G4040,,70750,,64726304,6067965,27,138.259259259999993,17480,{506D0D4F-01EC-498F-B8EA-06C68A5748BD},70738190.103584095835686,37830.069947903364664
191,2301957045,23,Penobscot,019,57045,00582663,374,Passadumkeag,Passadumkeag town,43,T1,G4040,,70750,,59352916,385359,23,16.260869570000001,14750,{1A73A61A-4FC9-4A34-979F-4D316DEC896D},59692054.164305999875069,35755.866984211570525
192,2301957150,23,Penobscot,019,57150,00582666,1017,Patten,Patten town,43,T1,G4040,,,,98905492,153197,38,26.763157889999999,24459,{7FF6E4DA-EFDA-4732-8909-34AA473F6D09},98983197.074773356318474,40161.138434905755275
193,2301957937,23,Penobscot,019,57937,01987300,610,Penobscot Indian Island,Penobscot Indian Island Reservation,86,Z2,G4040,,70750,,19532151,37420090,22,27.727272729999999,14062,{691BF392-085B-4042-8219-2612DD8EDE36},56908233.645075641572475,270915.108362632396165
194,2301959950,23,Penobscot,019,59950,00582679,1380,Plymouth,Plymouth town,43,T1,G4040,,70750,,76994801,3409494,31,44.516129030000002,19853,{D71DCC81-B825-4F93-8AAF-C1E976B4D355},80340621.379254236817360,37885.313839385707979
195,2301960790,23,Penobscot,019,60790,02378265,214,Prentiss,Prentiss UT,46,Z3,G4040,,,,98888918,107082,38,5.631578950000000,24446,{C76A0401-C70F-4F7B-BA59-50BAE058C0DA},98929710.307033047080040,41957.523069324575772
196,2300928975,23,Hancock,009,28975,00582498,58,Great Pond,Great Pond town,43,T1,G4040,,,,97791591,5523437,40,1.450000000000000,25511,{A69BE5AE-1DD9-43BB-A29D-647387CA8ECF},103240183.518179565668106,41088.655112936350633
197,2300930970,23,Hancock,009,30970,00582509,2394,Hancock,Hancock town,43,T1,G4040,,,,77804453,22872841,39,61.384615380000000,24860,{F6C0AA0B-07D7-4EC3-B684-0EEC0A54B6E8},100604549.430974006652832,54390.561624078633031
